condition,context,speaker,name,example,no_feature,same_feature,diff_feature,both_features,check_question,generalizations
noContext_noSpeaker,no context,no speaker,wug,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,kiba,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,kiba,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,kiba,thorns,0,1,0,1,TRUE,1
noContext_noSpeaker,no context,no speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,tupa,petals,0,1,0,1,TRUE,1
noContext_noSpeaker,no context,no speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,petals,0,1,0,1,TRUE,1
noContext_noSpeaker,no context,no speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,tupa,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,dax,thorns,1,1,1,1,TRUE,3
noContext_noSpeaker,no context,no speaker,wug,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,fep,petals,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_noSpeaker,no context,no speaker,kiba,petals,0,1,0,1,TRUE,1
noContext_noSpeaker,no context,no speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,thorns,0,0,0,1,TRUE,1
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,1,TRUE,1
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,petals,0,1,0,1,TRUE,1
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,thorns,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,kiba,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,thorns,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,fep,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,petals,0,1,0,1,TRUE,1
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,1,TRUE,1
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,kiba,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,bapi,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,wug,petals,1,1,0,0,TRUE,1
noContext_Speaker,no context,speaker,wug,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,tupa,thorns,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,dax,petals,0,1,0,0,TRUE,0
noContext_Speaker,no context,speaker,fep,petals,0,0,0,1,TRUE,1
